date,station,airT,Longitude,Latitude
2014-10-15T06:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-15T07:00:00Z,PAR,23.6,-37.05311,-10.88105
2014-10-15T08:00:00Z,PAR,23.6,-37.05311,-10.88105
2014-10-15T09:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-15T10:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-15T11:00:00Z,PAR,23.3,-37.05311,-10.88105
2014-10-15T12:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-15T13:00:00Z,PAR,26.2,-37.05311,-10.88105
2014-10-15T14:00:00Z,PAR,27.1,-37.05311,-10.88105
2014-10-15T15:00:00Z,PAR,27.8,-37.05311,-10.88105
2014-10-15T16:00:00Z,PAR,28.7,-37.05311,-10.88105
2014-10-15T17:00:00Z,PAR,29,-37.05311,-10.88105
2014-10-15T18:00:00Z,PAR,28.9,-37.05311,-10.88105
2014-10-15T19:00:00Z,PAR,28.2,-37.05311,-10.88105
2014-10-15T20:00:00Z,PAR,27.7,-37.05311,-10.88105
2014-10-15T21:00:00Z,PAR,26.4,-37.05311,-10.88105
2014-10-15T22:00:00Z,PAR,25.4,-37.05311,-10.88105
2014-10-15T23:00:00Z,PAR,24.5,-37.05311,-10.88105
2014-10-16T00:00:00Z,PAR,24.4,-37.05311,-10.88105
2014-10-16T01:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-16T02:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-16T03:00:00Z,PAR,24.1,-37.05311,-10.88105
2014-10-16T04:00:00Z,PAR,24,-37.05311,-10.88105
2014-10-16T05:00:00Z,PAR,23.8,-37.05311,-10.88105
2014-10-16T06:00:00Z,PAR,23.7,-37.05311,-10.88105
2014-10-16T07:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-16T08:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-16T09:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-16T10:00:00Z,PAR,23.4,-37.05311,-10.88105
2014-10-16T11:00:00Z,PAR,23.5,-37.05311,-10.88105
2014-10-16T12:00:00Z,PAR,24.3,-37.05311,-10.88105
2014-10-16T13:00:00Z,PAR,25.5,-37.05311,-10.88105
2014-10-16T14:00:00Z,PAR,25.5,-37.05311,-10.88105
2014-10-16T15:00:00Z,PAR,27.6,-37.05311,-10.88105
2014-10-16T16:00:00Z,PAR,28.4,-37.05311,-10.88105
2014-10-16T17:00:00Z,PAR,28,-37.05311,-10.88105
2014-10-16T18:00:00Z,PAR,27.7,-37.05311,-10.88105
2014-10-16T19:00:00Z,PAR,27.2,-37.05311,-10.88105
2014-10-16T20:00:00Z,PAR,26.9,-37.05311,-10.88105
2014-10-16T21:00:00Z,PAR,25.1,-37.05311,-10.88105
2014-10-16T22:00:00Z,PAR,25.3,-37.05311,-10.88105
